City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
te anau,-45.41,44.1,81,36,15.12
bose,45.46,69.8,37,0,4.7
ushuaia,-54.81,37.4,86,90,3.6
dinguiraye,11.29,69.75,100,92,3.71
mataura,-46.19,46.89,75,64,12.66
harer,42.19,69.93,28,0,9.75
cape town,-33.93,48.2,70,40,5.82
hermanus,-34.42,44.46,96,92,6.73
kaitangata,-46.28,40.41,63,80,5.73
puerto ayora,-0.74,78.8,65,75,17.22
punta arenas,-53.16,41,86,90,5.82
kieta,-6.22,76.86,100,64,3.38
barrow,-38.31,70.56,36,0,10.76
rikitea,-23.12,72.99,100,76,8.41
bagua grande,-5.75,68.76,82,12,2.37
provideniya,64.42,47.43,96,92,15.46
katherine,-14.47,77,50,90,6.93
senneterre,48.39,68,94,90,5.82
hilo,19.71,69.19,93,90,4.7
castro,-42.48,52.47,97,88,7.63
san policarpo,12.18,77.67,100,20,7.07
kailua,21.39,77.9,74,90,13.87
dikson,73.51,46.08,100,0,5.5
saint george,39.45,78.8,74,20,4.7
albany,42.65,77.74,60,75,8.05
derzhavinsk,51.1,50.94,89,32,5.73
lebu,8.96,54.99,89,64,2.37
aklavik,68.22,40.33,93,90,6.93
east london,-33.02,51.8,100,0,23.04
vaini,15.34,69.39,98,92,6.17
cidreira,-30.17,55.26,71,0,10.76
longyearbyen,78.22,39.2,69,75,4.7
cherskiy,68.75,32.13,100,44,5.61
chuy,-33.69,58.68,75,0,15.68
bulgan,48.81,45.18,84,8,2.59
tuktoyaktuk,69.44,42.8,93,90,6.93
adrar,27.87,104,11,0,19.46
nikolskoye,59.7,59,93,0,4.47
avera,33.19,89.64,45,40,4.7
bluff,-23.58,51.93,69,0,8.97
ouallam,14.32,81.27,76,68,7.4
saldanha,41.42,81.27,37,0,3.38
lata,30.78,58.77,100,92,1.59
hobart,-42.88,39.2,64,20,11.41
isangel,-19.55,72.99,100,88,16.69
avarua,-21.21,68,94,40,2.24
cikupa,-7.65,73.35,100,8,10.98
narsaq,60.91,50,53,75,10.29
saint-pierre,48.95,68.99,37,0,11.41
jamestown,-33.21,34.92,80,32,3.15
kondoa,-4.91,69.03,58,76,5.61
waipawa,-39.94,29.07,71,0,2.59
port alfred,-33.59,59.76,72,0,22.73
qaanaaq,77.48,34.47,100,64,5.95
terrace bay,48.78,59,100,90,4.7
bjorkelangen,59.88,54.09,75,32,1.59
moanda,-5.93,73.4,88,75,6.93
alice springs,-23.7,41,35,0,3.36
georgetown,6.8,86,79,75,6.93
bredasdorp,-34.53,46.4,75,92,8.05
komsomolskiy,67.55,47.43,81,0,4.38
almaznyy,48.03,69.3,26,0,8.52
mantua,45.16,68.76,59,20,2.24
dakar,14.69,84.2,83,40,9.17
bojnurd,37.47,68,40,0,2.15
pedernales,0.07,81.63,83,24,7.96
cabo san lucas,22.89,90.73,62,5,9.17
lavrentiya,65.58,47.34,90,88,22.84
carnarvon,-30.97,34.74,50,0,12.44
coihaique,-45.58,52.59,66,75,8.05
noyabrsk,63.2,55.98,77,0,10.09
carutapera,-1.2,82.17,81,12,8.08
busselton,-33.64,54.09,100,0,7.07
kinkala,-4.35,77,73,20,8.05
anadyr,64.73,42.8,100,75,2.24
tessalit,20.2,95.31,30,76,4.05
bennettsville,34.62,88.27,45,1,3.36
taunggyi,20.78,67.68,98,68,2.37
ossora,59.24,43.38,100,64,6.96
los llanos de aridane,28.66,75.2,73,20,13.87
chapais,49.78,69.8,83,90,9.17
geraldton,49.72,69.8,77,75,9.17
auki,12.18,77.22,81,48,5.95
butaritari,3.07,80.28,100,80,1.48
inuvik,68.36,40.1,93,90,6.93
vila franca do campo,37.72,75.2,64,40,12.75
roma,41.89,71.2,60,20,9.17
alyangula,-13.85,73.17,100,0,8.41
san patricio,-26.98,63.63,46,0,3.38
kapaa,22.08,79.65,90,90,19.46
harper,30.3,90.59,35,1,8.05
steinbach,49.53,66.2,45,40,9.17
husavik,50.56,64.35,96,0,4.05
banepa,27.63,71.6,100,75,4.7
cayenne,4.94,87.8,66,40,8.05
imperial beach,32.58,75.04,61,20,8.05
ribeira grande,38.52,77,65,40,5.82
praya,-8.71,71.6,88,75,10.42
jaisalmer,26.91,86.04,59,36,7.74
chokurdakh,70.62,41.49,83,80,3.94
laguna,27.52,95,44,20,3.04
saint-philippe,45.36,70.25,88,90,6.93
northam,51.04,63.36,88,75,13.87
ancud,-41.87,52.83,93,92,7.52
yellowknife,62.45,55.4,50,75,3.36
fairbanks,64.84,47.89,87,1,6.93
owo,7.2,77.76,81,76,5.95
mount isa,-20.73,55.4,32,0,3.36
quatre cocos,-20.21,71.6,83,75,14.99
armeria,18.93,86.05,78,75,8.05
san cristobal,-0.39,60.8,59,75,20.8
port hardy,50.7,55.4,100,90,4.7
katsuura,33.93,76.14,90,12,3.6
atuona,-9.8,78.66,100,24,20.49
conceicao do araguaia,-8.26,93.6,44,0,3.94
kavieng,-2.57,82.71,100,88,4.05
lac-au-saumon,48.42,69.8,68,90,4.7
muros,42.77,73.4,53,0,5.82
mwingi,-0.93,70.74,59,80,10.98
akhtubinsk,48.29,70.29,43,0,9.64
zeya,53.74,59.67,87,56,1.92
margate,-43.03,41,52,20,9.17
katobu,-4.94,77.58,100,0,4.94
hovd,63.83,50.86,71,20,3.38
khatanga,71.98,47.97,86,0,4.72
taree,-31.91,46.4,87,0,3.36
broken hill,-31.97,41.4,87,8,7.74
nanortalik,60.14,41.13,100,92,7.18
bilma,18.69,92.61,30,12,3.94
yulara,-25.24,50,29,0,5.82
eyl,7.98,78.84,66,8,24.07
nouakchott,18.08,79.92,100,0,11.99
huarmey,-10.07,70.56,60,0,3.6
seoul,37.57,68,88,90,5.82
labuhan,-2.54,72.63,95,0,2.37
malkangiri,18.35,72.09,97,92,4.16
port elizabeth,39.31,83.43,60,20,8.05
beringovskiy,63.05,48.06,100,92,8.19
vagay,57.94,59.04,80,92,9.75
mehran,33.12,80.6,19,0,4.7
arraial do cabo,-22.97,65.28,100,90,20.8
minsk,53.9,66.2,88,0,13.42
mahebourg,-20.41,71.6,83,75,14.99
kruisfontein,-34.0,54.9,82,68,30.56
mar del plata,-46.43,65.16,36,0,28.1
ellisras,-23.67,78.75,21,8,9.98
bongaree,-27.08,51.8,93,0,8.97
kodiak,39.95,82.94,77,1,13.87
haines junction,60.75,46.26,81,0,2.59
santa vitoria do palmar,-33.52,58.68,75,0,15.68
half moon bay,37.46,65.1,65,20,6.93
majene,-3.54,81.36,100,12,20.15
thompson,55.74,48.2,70,75,9.17
havelock,34.88,86.05,59,20,2.15
salalah,17.01,75.2,100,90,4.7
hamilton,32.3,86,70,20,4.7
mariestad,58.71,50,87,88,4.7
pevek,69.7,34.83,100,80,12.44
saskylakh,71.97,42.12,86,0,2.71
lompoc,34.64,65.05,68,40,9.17
iracoubo,5.48,86.04,69,64,4.5
nemuro,43.32,61.74,96,48,10.09
camocim,-2.9,90.54,57,20,8.41
ourossogui,15.61,95,59,40,2.24
samarai,-10.62,76.23,100,80,4.72
coquimbo,-29.95,57.2,76,75,5.82
college,64.86,47.89,87,1,6.93
manicore,-5.81,89.91,61,12,3.94
waingapu,-9.65,65.61,97,0,4.38
wamba,2.14,68.94,98,32,2.04
hobyo,5.35,75.51,80,8,23.06
general roca,-39.03,71.6,24,0,4.7
kavaratti,10.57,81.27,99,92,15.23
malchevskaya,49.06,65.61,33,0,6.73
bonfim,-20.33,82.4,34,40,5.82
fortuna,38.18,81.84,78,75,5.82
talnakh,69.49,49.77,88,56,2.37
grand gaube,-20.01,71.6,83,75,14.99
brezovo,42.93,69.8,83,8,3.36
lom sak,16.78,69.03,98,76,2.71
trelew,-43.25,70.56,29,8,17.58
bocas del toro,9.33,78.21,100,92,12.21
marawi,8.0,68.76,100,76,0.58
linhares,-19.38,82.26,58,32,8.97
tasiilaq,65.61,44.6,100,75,8.05
piacabucu,-10.41,83.79,48,0,13.78
cuamba,-14.8,73.26,50,80,2.93
new norfolk,-42.78,41,52,20,9.17
hithadhoo,-0.6,81.9,100,92,5.39
chara,39.42,78.8,74,20,4.7
artyom,43.36,68,100,75,2.24
djibo,14.1,77.22,91,76,8.08
karpathos,35.51,78.8,83,40,17.22
touros,-5.2,81.72,74,0,18.48
kempele,64.91,55.4,93,92,1.12
griffin,33.25,87.22,43,75,3.36
pochutla,15.74,87.8,66,75,17.22
kapuskasing,49.42,75.2,64,75,11.41
abaza,52.65,53.46,85,12,1.59
biak,-0.91,76.05,99,68,4.5
hailey,43.52,68,34,40,10.29
kikwit,-5.04,74.07,91,24,3.04
bathsheba,13.22,86,66,75,13.87
santa margherita ligure,44.33,77,29,0,4.7
cap-aux-meules,47.38,71.6,64,75,10.29
yerbogachen,61.28,50.04,90,8,2.48
latung,-8.45,66.87,94,0,3.49
evensk,61.92,45.63,100,0,12.44
makakilo city,21.35,77.97,76,90,5.82
urucui,-7.23,98.46,23,0,10.54
santa isabel,4.71,91.4,41,75,9.17
xiamen,24.46,80.6,88,20,4.47
aswan,24.09,93.33,24,0,13
cooma,-36.24,37.53,97,56,9.08
mawlaik,23.63,72.72,99,92,2.15
cartagena,37.63,82.67,74,40,5.82
bambous virieux,-20.34,71.6,83,75,14.99
codrington,-28.95,47.61,92,0,5.73
aviles,43.55,68,77,20,1.12
luderitz,-26.65,55.71,68,0,25.86
kuhdasht,33.53,72.99,52,0,1.92
broome,52.47,59.7,93,90,13.87
ilulissat,69.22,39.2,93,20,10.29
kyrylivka,47.65,72.9,31,0,7.96
novopokrovka,45.85,59.49,100,92,2.48
rapid valley,44.06,77.09,57,1,11.41
fonte boa,-2.51,84.24,75,36,3.38
zirl,47.27,51.8,76,40,3.36
puerto carreno,6.19,75.2,94,40,10.29
tavda,58.04,56.61,90,48,10.65
vanderhoof,54.02,53.37,75,56,5.17
turayf,31.68,84.2,39,5,18.34
marsh harbour,26.54,83.79,99,68,15.68
umm lajj,25.02,86.94,76,0,13.44
willowmore,-33.3,41.67,43,44,8.63
west wendover,40.74,77,3,1,5.82
nome,30.04,91.58,50,90,5.82
constitucion,23.99,75.2,47,20,2.24
salinopolis,-0.61,83.25,90,12,13.22
sur,22.57,85.86,87,36,4.16
rockhampton,-23.38,57.2,58,0,4.7
kupang,-10.16,75.96,97,0,11.21
wanning,48.64,57.2,67,12,8.05
valdemarpils,57.37,59,72,20,8.05
zalantun,48.0,61.74,91,88,2.48
iquitos,-3.75,87.8,66,75,6.93
ukiah,39.15,68,48,1,5.82
birao,10.3,74.97,90,48,5.5
hasaki,35.73,77,94,20,3.36
kyzyl,51.72,49.86,88,8,2.59
korem,12.51,60.21,80,32,2.15
necochea,-38.55,65.43,53,0,11.1
baykit,61.68,48.33,88,32,3.94
vao,59.1,57.51,98,92,6.96
poum,41.28,69.8,68,40,3.36
savonlinna,61.87,60.8,77,90,3.36
koungheul,13.98,91.26,68,8,1.48
pontianak,-0.02,78.57,95,68,3.38
victoria point,-27.58,49.96,93,0,16.24
guozhen,29.3,79.56,81,8,6.17
herat,34.35,73.4,16,0,14.99
sitka,37.17,91.53,46,24,22.06
henties bay,-22.12,59.13,87,0,18.03
sinnamary,5.38,84.6,88,36,7.4
marovoay,-16.11,75.2,78,20,4.7
awjilah,29.14,94.95,22,0,15.79
lancaster,40.04,82.56,61,75,6.93
tuatapere,-46.13,51.57,87,0,22.62
upata,8.02,86.04,67,8,9.42
pitkyaranta,61.57,57.69,83,88,4.5
dingle,11.0,75.24,93,68,3.6
gazojak,41.19,64.98,55,0,3.49
andapa,-14.66,65.43,82,80,2.93
cascais,38.7,80.62,47,0,13.87
noumea,-22.28,62.6,100,92,1.12
san rafael,-34.61,79.2,15,8,12.44
ponta do sol,-20.63,73.17,85,80,2.93
abu samrah,35.3,78.84,46,0,15.23
lagoa,37.14,78.8,69,0,3.36
khandyga,62.65,50.22,92,20,2.37
srednekolymsk,67.46,35.91,89,56,2.37
port augusta,-32.49,41,93,20,4.7
ystad,55.43,57.09,67,20,8.05
ostersund,63.18,48.2,81,0,9.17
hami,42.84,73.53,30,0,15.01
alofi,-19.06,64.4,100,0,2.24
yingkou,40.67,65.34,100,20,3.15
fort frances,48.61,66.92,75,75,4.16
griffith,-34.29,44.37,91,0,9.08
la asuncion,-1.64,53.19,66,64,4.94
upernavik,72.79,39.51,100,68,5.61
petatlan,17.52,87.8,66,75,4.7
antofagasta,-23.65,62.6,63,20,13.87
nouadhibou,20.93,73.4,78,0,25.28
bubaque,11.28,84.2,79,75,9.17
wilmington,39.75,83.01,61,75,6.93
miramar,10.09,69.75,78,75,13.87
boa vista,2.82,91.4,55,75,14.99
nha trang,12.24,79.83,93,80,8.19
kamenka,53.19,65.61,49,0,8.41
port lincoln,-34.72,49.23,100,56,5.39
marana,32.44,87.73,43,1,3.36
puri,-7.54,65.52,91,0,4.61
arlit,18.74,84.33,57,68,8.75
tautira,-17.73,80.6,65,40,2.24
vavoua,7.38,71.01,99,92,2.48
crestview,30.76,90.14,54,20,5.5
guerrero negro,27.97,79.02,65,0,8.19
nioro,13.79,91.26,68,8,1.48
severo-kurilsk,50.68,48.87,100,92,4.61
oktyabrskoye,56.73,50.58,92,0,2.37
kahului,20.89,75,96,75,16.11
beloha,-25.17,70.38,48,0,8.63
hofn,64.25,45.54,100,0,8.63
vostok,46.45,56.52,100,80,2.15
ferrol,43.48,71.78,73,0,4.7
wadi maliz,36.47,78.58,54,20,2.37
tilichiki,60.47,35.91,94,0,3.71
honningsvag,70.98,51.8,87,75,5.82
leningradskiy,69.38,36.81,100,92,10.09
quelimane,-17.88,73.4,83,0,5.82
norman wells,65.28,55.4,76,40,4.7
axim,4.87,76.95,95,64,9.64
yakeshi,49.28,55.26,89,8,2.71
khetia,21.67,73.62,96,92,8.52
saint-augustin,44.83,71.42,56,0,9.17
lorengau,-2.02,81.27,100,64,7.96
port-gentil,-0.72,77,88,90,8.05
sao joao da barra,-21.64,75.2,69,40,25.28
drawsko pomorskie,53.53,55.4,71,0,2.24
olot,39.42,68.65,33,0,6.93
souillac,45.6,71.6,53,0,9.17
nanchong,30.8,76.32,79,0,2.59
plattsburgh,44.69,71.47,78,90,8.05
buraydah,26.33,98.6,19,0,4.7
sakassou,7.45,74.97,97,100,6.06
sao jose da coroa grande,-8.9,76.32,86,92,11.54
bagotville,-28.98,57.87,100,0,11.43
kirakira,-10.46,79.74,100,88,8.97
arona,45.76,67.1,49,0,5.82
pisco,-13.71,71.6,30,90,9.17
estevan,49.14,66.2,37,1,14.99
biankouma,7.74,69.66,99,92,4.05
tiksi,71.64,40.32,86,0,2.59
cockburn town,21.46,84.24,95,100,17.47
ngaoundere,7.32,71.6,88,20,4.7
omsukchan,62.53,34.83,88,76,5.39
tarko-sale,64.92,53.46,78,0,6.62
hambantota,6.12,80.82,97,44,17.13
saint anthony,43.97,68.67,27,1,19.46
waddan,29.16,90.27,33,48,10.09
togur,58.36,55.35,95,0,7.52
ostrovnoy,68.05,52.74,92,12,7.52
balaipungut,1.11,76.95,84,48,2.04
maragogi,-9.01,76.32,86,92,11.54
sept-iles,50.2,68,72,75,10.29
tommot,58.97,52.11,97,92,4.05
kamsack,51.56,60.8,55,20,9.17
port macquarie,-31.43,46.4,87,0,3.36
port hedland,-20.31,59,62,0,11.41
araxa,-19.59,74.34,74,44,3.71
mizdah,31.45,87.93,30,44,3.15
ha tinh,18.33,76.59,100,92,11.43
iskateley,67.68,58.32,70,20,15.12
kindu,-2.95,70.29,98,48,1.7
waycross,31.21,89.15,55,75,3.36
nantucket,41.28,77.18,55,1,10.29
klaksvik,62.23,50,76,64,5.82
houston,29.76,93.29,47,40,4.7
havre-saint-pierre,50.23,69.8,68,90,6.93
kunstat,49.51,58.23,71,0,4.7
kalmunai,7.42,75.69,96,32,1.36
belmonte,40.36,84.69,31,0,2.59
vestmanna,62.16,50,76,48,5.82
bhimunipatnam,17.88,79.38,86,100,7.4
bayir,37.27,78.8,74,0,6.93
shimoda,34.7,79.38,92,0,15.01
annau,37.89,77,25,0,4.7
mpulungu,-8.77,64.89,39,0,6.17
san vicente,13.64,86,61,20,5.82
airai,-8.93,67.59,92,36,2.04
cruzeiro do sul,-7.63,78.8,74,90,14.99
portobelo,9.55,77.9,88,75,4.7
cienfuegos,22.15,89.6,66,20,8.05
gizo,31.8,81.64,65,20,4.7
bonavista,48.65,73.71,64,56,6.06
reconquista,-29.14,66.24,51,0,8.63
tacoronte,28.48,74.08,82,40,17.22
eureka,40.8,60.08,77,40,9.17
killybegs,54.63,56.07,100,92,19.82
kalaikunda,22.35,78.12,95,92,4.16
bethel,60.79,50,92,90,17.22
lima,-12.06,68.76,71,0,2.93
yilan,24.75,78.67,88,75,2.24
iqaluit,63.75,50,61,75,6.93
port-de-bouc,43.4,72.28,33,0,9.17
zitsa,39.75,74.05,94,40,1.7
merauke,-8.49,74.97,98,12,9.53
amahai,-3.31,78.39,100,92,9.64
zapolyarnyy,69.43,55.4,66,0,17.22
karratha,-20.74,49.95,57,0,4.38
clyde river,70.47,44.6,80,75,8.05
vysokogornyy,50.1,44.73,89,0,1.92
atar,20.52,109.4,18,20,19.46
znamenskoye,57.13,57.87,96,92,11.43
egvekinot,66.32,35.37,100,92,4.61
inhambane,-23.87,73.4,83,0,11.41
say,13.1,80.6,78,20,5.82
cuiluan,47.72,55.26,93,44,2.15
bagdarin,54.44,49.23,86,48,2.37
silao,20.94,75.2,50,75,10.29
urucara,-2.54,92.34,51,32,4.38
darvari,42.86,69.8,83,0,3.36
ikalamavony,-21.17,56.16,82,0,4.61
maniitsoq,65.42,44.91,95,24,5.95
dalby,-27.18,41,93,92,4.7
wattegama,7.35,71.64,93,92,3.94
kathu,-27.7,46.89,44,0,13.11
poli,8.48,75.87,88,36,2.59
gawler,-34.6,51.8,76,75,6.93
yunhe,28.12,73.26,96,68,2.04
kijang,35.24,78.8,94,75,9.17
petauke,-14.25,72.99,28,20,8.41
saucillo,28.03,88.47,31,0,5.95
north bend,43.41,62.69,70,40,13.87
bandarbeyla,9.49,76.95,84,0,34.92
acajutla,13.59,89.6,55,20,4.7
chunskiy,56.08,62.64,70,0,5.17
kangaatsiaq,68.31,41.85,100,8,16.13
solnechnyy,50.72,56.16,93,56,4.05
rio gallegos,-51.62,44.6,93,90,3.36
bambanglipuro,-7.95,64.26,98,0,2.15
san luis,-33.3,79.47,14,0,14.45
gangarampur,25.41,79.74,95,80,5.06
beisfjord,68.38,50,66,40,24.16
polson,47.69,57.24,52,68,3.15
faanui,-16.48,79.2,100,20,13.22
chaman,30.92,57.06,39,0,1.48
sioux lookout,50.1,65.14,59,90,5.82
sexsmith,55.35,55.4,71,75,13.87
toktogul,41.87,50.22,49,80,1.14
sembakung,3.82,75.33,96,24,2.71
yorkton,51.21,60.8,55,20,9.17
gejiu,23.36,58.23,97,32,2.04
juneau,58.3,57.58,86,75,4.7
verkhnyaya inta,65.99,46.8,91,0,2.15
santa cruz del sur,20.71,86.22,94,44,10.76
corbu,44.41,71.6,78,0,4.7
rocha,-34.48,59.22,59,0,13.67
pendleton,34.65,85.33,51,1,3.36
knysna,-34.04,44.6,65,0,8.05
gornopravdinsk,60.06,57.51,78,8,8.08
zonguldak,41.25,74.61,88,92,3.15
ekhabi,53.51,58.05,88,92,9.64
vanimo,-2.67,81.09,100,48,2.04
talaya,55.79,50.58,86,12,1.92
namatanai,-3.66,78.84,100,56,7.4
nizwa,22.93,83.61,20,44,4.38
mugan,35.94,51.57,100,92,2.37
las vegas,36.17,95.97,15,1,18.34
fare,-16.7,78.66,100,12,11.43
miraflores,5.2,66.6,51,0,2.59
sanmenxia,34.77,64.35,81,0,3.04
bulle,46.61,61.36,39,24,1.12
santiago del estero,-27.8,76.95,22,0,15.12
ambato,-1.24,60.8,59,75,20.8
belomorsk,64.52,56.79,92,76,5.5
waitara,-39.0,50.94,99,92,7.52
meadow lake,54.13,53.6,87,90,5.61
kununurra,-15.77,55.4,82,0,3.36
kabanjahe,3.1,77,88,40,4.7
luxor,25.7,88.47,25,0,11.1
saint-francois,46.42,66.2,32,0,1.12
preeceville,51.95,57.69,73,80,5.39
ambilobe,-13.19,73.89,58,0,9.42
kambove,-10.88,65.16,39,0,4.72
weiser,44.25,69.98,39,1,3.36
vardo,39.62,84.06,55,20,9.17
mareeba,-16.99,66.2,88,40,11.41
kattivakkam,13.22,86,70,75,6.93
tokonou,9.65,73.8,88,88,6.4
lufilufi,-13.87,81.36,100,64,11.1
lamu,0.57,71.28,100,80,0.69
ahuimanu,21.44,77.92,74,90,13.87
fort nelson,58.81,51.8,93,90,9.17
burnie,-41.05,46.44,100,0,18.03
havoysund,71.0,51.8,71,40,10.29
spasskoye,55.86,59.67,71,0,6.51
torbay,47.66,78.8,57,40,19.46
dunedin,-45.87,31.95,73,32,5.73
ahipara,-35.17,47.79,100,56,2.48
banda aceh,5.56,77.31,82,76,3.71
paraiso,24.01,75.2,47,20,2.24
amazar,53.86,60.3,92,80,3.71
hare bay,48.86,84.2,39,40,10.29
mayo,63.59,46.4,87,20,2.24
furth im wald,49.31,62.6,36,0,3.36
victoria,5.28,80.6,83,75,4.38
usinsk,66.0,50.13,90,0,6.96
yumen,40.29,63.18,60,32,12.77
olivenza,38.68,98.6,10,0,8.05
dauriya,49.93,61.83,82,76,1.92
bristol,51.45,63.68,100,90,17.22
male,50.74,69.93,42,0,6.51
kyzyl-suu,42.34,53.01,100,80,9.42
batagay-alyta,67.8,32.85,79,0,2.59
esil,51.96,55.35,98,92,7.96
veraval,49.65,67.39,60,90,14.99
zhigansk,66.77,50.31,79,64,3.71
chirilagua,13.22,90.9,77,0,5.5
ortakoy,38.74,82.4,20,0,9.17
fukue,35.03,82.4,78,20,10.29
imbituba,-28.24,59,54,0,14.99
camopi,3.17,93.6,42,24,2.15
bapatla,15.9,73.89,96,92,9.53
mao,19.55,89.64,52,20,12.75
botou,38.08,72.45,76,0,5.5
diu,20.71,75.6,98,92,10.65
manyana,-35.26,53.6,93,75,6.93
grindavik,63.84,51.8,66,75,2.24
normandin,48.84,66.2,93,90,11.41
zheleznovodsk,44.14,71.6,64,8,11.18
naze,5.43,82.4,78,20,4.7
polunochnoye,60.87,48.42,91,0,6.06
halifax,44.65,73.4,64,75,10.29
bridlington,54.08,57.2,100,75,14.99
altay,47.83,44.1,67,48,2.37
chiredzi,-21.05,75.96,37,0,9.64
pocone,-16.26,78.39,50,8,12.77
semnan,35.58,74.16,32,0,5.06
jiaohe,43.72,61.83,100,92,2.59
anchorage,61.22,52.36,100,90,6.93
straumen,63.87,51.8,71,20,2.48
camacha,33.08,72.61,68,40,12.75
hue,16.47,78.8,88,75,2.24
nicoya,10.15,87.8,58,40,13.87
pervomayskoye,57.07,51.57,89,0,2.93
cururupu,-1.82,83.61,89,44,7.63
inirida,3.87,82.98,74,64,2.48
amarillo,35.21,89.96,36,1,21.92
taoudenni,22.68,104.94,10,0,8.52
aksu,52.04,53.6,93,75,8.95
de-kastri,51.48,56.07,97,0,5.17
les cayes,18.19,82.98,96,12,14.12
tambacounda,13.77,91.4,63,75,4.7
pangnirtung,66.15,48.2,66,40,18.34
kupino,54.36,58.77,89,12,4.5
madras,44.63,65.25,39,1,8.05
denpasar,-8.65,77,83,20,9.17
namibe,-15.19,66.24,97,0,5.73
pierre,44.37,80.06,58,1,6.93
moree,-29.46,47.97,100,36,7.74
hervey bay,-25.3,59.31,100,0,11.77
kankaanpaa,61.8,53.6,87,80,5.82
shilovo,51.55,62.6,55,0,5.17
koupela,12.18,78.3,75,64,9.53
argos,37.64,74.07,74,12,2.48
porosozero,62.72,57.15,90,80,2.37
ajdabiya,30.75,84.69,48,0,11.65
palmer,61.6,52.39,100,90,6.93
vilhena,-12.74,75.2,47,0,12.75
mamallapuram,12.63,86,70,75,6.93
vestmannaeyjar,63.44,50,81,40,18.34
prince rupert,54.32,57.2,87,75,10.29
virginia beach,36.85,84.33,65,20,9.17
